Bss Commerce,Bss Commerce
Auto Cancel Order,Auto Cancel Order
Auto Cancel Order Config Setting,Auto Cancel Order Config Setting
Enable,Enable
Consider Cancelation after,Consider Cancelation after
Order Status Option, Order Status Option
Payment Method Group, Payment Method Group
Payment Group, Payment Group
Hours, Hours
Action, Action
Add, Add
Apply Now, Apply Now
Show Log, Show Log
Orders was successfully canceled!, Orders was successfully canceled!
Some orders was not successfully canceled. Please check file log for more information!, Some orders was not successfully canceled. Please check file log for more information!
Module is disable!, Module is disable!
Canceled Orders History, Canceled Orders History
